,Behaviour,Round,total100,total90,total75,total50
66,GREEDY_FRONTIER,7,0.025512756378189096,0.02501250625312656,0.017508754377188594,0.014507253626813406
67,FRONTIER_ASSIST,7,0.0335167583791896,0.03301650825412707,0.022011005502751375,0.014507253626813406
68,SCOUT,7,0.03801900950475238,0.03751875937968985,0.02501250625312656,0.018009004502251125
69,FRONTIER_CENTRAL_GREEDY,7,0.02351175587793897,0.02301150575287644,0.018509254627313655,0.013506753376688344
70,ZONE_SPLIT,7,0.22961480740370185,0.22911455727863933,0.21210605302651325,0.06603301650825413
71,ZONE_VORONOI,7,0.04102051025512756,0.04052026013006503,0.028514257128564282,0.01900950475237619
72,WANDERING,8,0.5172586293146574,0.5167583791895948,0.16658329164582292,0.10455227613806903
73,GREEDY,8,0.28564282141070535,0.2851425712856428,0.04202101050525263,0.02501250625312656
74,FRONTIER,8,0.02501250625312656,0.02451225612806403,0.017008504252126064,0.01250625312656328
75,GREEDY_FRONTIER,8,0.030515257628814407,0.030015007503751877,0.022011005502751375,0.016508254127063533
76,FRONTIER_ASSIST,8,0.02501250625312656,0.02451225612806403,0.017008504252126064,0.01250625312656328
77,SCOUT,8,0.030015007503751877,0.029514757378689346,0.021010505252626314,0.016008004002001
78,FRONTIER_CENTRAL_GREEDY,8,0.026513256628314157,0.026013006503251626,0.018509254627313655,0.013006503251625813
79,ZONE_SPLIT,8,0.07903951975987994,0.0785392696348174,0.060530265132566284,0.03251625812906453
80,ZONE_VORONOI,8,0.03151575787893947,0.031015507753876938,0.021510755377688845,0.014007003501750876
81,WANDERING,9,0.6943471735867934,0.6938469234617308,0.12306153076538269,0.07103551775887944
82,GREEDY,9,0.1055527763881941,0.10505252626313157,0.03901950975487744,0.017508754377188594
83,FRONTIER,9,0.02051025512756378,0.02001000500250125,0.015007503751875938,0.01150575287643822
84,GREEDY_FRONTIER,9,0.03751875937968985,0.03701850925462731,0.02751375687843922,0.013506753376688344
85,FRONTIER_ASSIST,9,0.02051025512756378,0.02001000500250125,0.015007503751875938,0.01150575287643822
86,SCOUT,9,0.03401700850425213,0.0335167583791896,0.02051025512756378,0.013506753376688344
87,FRONTIER_CENTRAL_GREEDY,9,0.02751375687843922,0.027013506753376687,0.015507753876938469,0.01150575287643822
88,ZONE_SPLIT,9,0.0865432716358179,0.08604302151075538,0.06903451725862932,0.02801400700350175
89,ZONE_VORONOI,9,0.030515257628814407,0.030015007503751877,0.017508754377188594,0.013506753376688344
90,WANDERING,10,0.9299649824912456,0.9294647323661831,0.15807903951975988,0.09654827413706854
91,GREEDY,10,0.057528764382191094,0.057028514257128564,0.03751875937968985,0.026013006503251626
92,FRONTIER,10,0.030515257628814407,0.030015007503751877,0.01950975487743872,0.014507253626813406
93,GREEDY_FRONTIER,10,0.03151575787893947,0.031015507753876938,0.022011005502751375,0.017008504252126064
94,FRONTIER_ASSIST,10,0.030515257628814407,0.030015007503751877,0.01950975487743872,0.014507253626813406
95,SCOUT,10,0.03301650825412707,0.03251625812906453,0.021010505252626314,0.015007503751875938
